[2024-03-13 11:21:02,938] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-13 11:21:03,930] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 11:21:03,931] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:21:03,939] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:21:04,941] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:21:05,933] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 11:21:05,934] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:21:05,942] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:21:05,942] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:21:05,943] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-13 11:21:06,943] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:21:07,937] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 11:21:07,937] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:21:07,945] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:21:08,947] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:21:09,940] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 11:21:09,948] [drone_actions] INFO Battery State 3: Critical
[2024-03-13 11:21:10,950] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:21:10,950] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:21:10,950] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-13 11:21:11,942] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-13 11:21:11,942] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:21:11,942] [drone_actions] INFO [31mAction: Emergency landing is advised[0m
[2024-03-13 11:21:11,953] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:21:12,954] [drone_actions] INFO Battery State 2: Severe
[2024-03-13 11:21:13,943] [drone_actions] INFO Sensor Anomaly State 3: Critical
[2024-03-13 11:21:13,955] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 11:21:13,955] [drone_actions] INFO Overall State 3: Critical
[2024-03-13 11:21:14,957] [drone_actions] INFO Battery State 1: Mild
[2024-03-13 11:21:15,945] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-13 11:21:15,945] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 11:21:15,945] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
[2024-03-13 11:21:15,960] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:21:15,960] [drone_actions] INFO Overall State 1: Mild
[2024-03-13 11:21:16,971] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:21:17,948] [drone_actions] INFO Sensor Anomaly State 2: Severe
[2024-03-13 11:21:17,948] [drone_actions] INFO Overall State 2: Severe
[2024-03-13 11:21:17,949] [drone_actions] INFO [91mAction: Plan to return to home immediately[0m
[2024-03-13 11:21:17,972] [drone_actions] INFO Battery State 0: Normal
[2024-03-13 11:21:18,974] [drone_actions] INFO Battery State 0: Normal
[2024-03-14 14:06:31,241] [drone_actions] INFO Overall state 0: Normal
[2024-03-14 14:06:32,243] [drone_actions] INFO Battery State 0: Normal
[2024-03-14 14:06:32,243] [drone_actions] INFO Overall State 0: Normal
[2024-03-14 14:06:32,243] [drone_actions] INFO [92mAction: Continue mission[0m
[2024-03-14 14:06:33,244] [drone_actions] INFO Sensor Anomaly State 1: Mild
[2024-03-14 14:06:33,244] [drone_actions] INFO Overall State 1: Mild
[2024-03-14 14:06:33,244] [drone_actions] INFO [93mAction: Consider returning to home soon[0m
[2024-03-14 14:06:33,245] [drone_actions] INFO Battery State 0: Normal
[2024-03-14 14:06:34,246] [drone_actions] INFO Battery State 1: Mild
[2024-03-14 14:06:34,246] [drone_actions] INFO Overall State 1: Mild
[2024-03-14 14:06:35,246] [drone_actions] INFO Sensor Anomaly State 1: Mild
